#file	offset	label	type	textbox	string
Z1010.DEC	0x0004	itm_000	sel	20x1	Dagashi
Z1010.DEC	0x0028	itm_001	sel	20x1	Sweets
Z1010.DEC	0x004C	itm_002	sel	20x1	Garlic
Z1010.DEC	0x0070	itm_003	sel	20x1	Garlic Tabo
Z1010.DEC	0x0094	itm_004	sel	20x1	Garlic Super
Z1010.DEC	0x00B8	itm_005	sel	20x1	
Z1010.DEC	0x00DC	itm_006	sel	20x1	Ponkee Cane
Z1010.DEC	0x0100	itm_007	sel	20x1	Fairy Dust
Z1010.DEC	0x0124	itm_008	sel	20x1	
Z1010.DEC	0x0148	itm_009	sel	20x1	Garanachoco
Z1010.DEC	0x016C	itm_010	sel	20x1	Chinese Man
Z1010.DEC	0x0190	itm_011	sel	20x1	Chocolate
Z1010.DEC	0x01B4	itm_012	sel	20x1	Cookie
Z1010.DEC	0x01D8	itm_013	sel	20x1	Rice ball
Z1010.DEC	0x01FC	itm_014	sel	20x1	Mother's Rice Ball
Z1010.DEC	0x0220	itm_015	sel	20x1	Mabotin
Z1010.DEC	0x0244	itm_016	sel	20x1	Great Mabotin
Z1010.DEC	0x0268	itm_017	sel	20x1	Yosaku Rice Balls
Z1010.DEC	0x028C	itm_018	sel	20x1	Mabotin Imitation 
Z1010.DEC	0x02B0	itm_019	sel	20x1	
Z1010.DEC	0x02D4	itm_020	sel	20x1	
Z1010.DEC	0x02F8	itm_021	sel	20x1	
Z1010.DEC	0x031C	itm_022	sel	20x1	Mandragora's Elixr
Z1010.DEC	0x0340	itm_023	sel	20x1	Proto. Devil Fruit
Z1010.DEC	0x0364	itm_024	sel	20x1	Imprv. Devil Fruit
Z1010.DEC	0x0388	itm_025	sel	20x1	Tree of Life Fruit
Z1010.DEC	0x03AC	itm_026	sel	20x1	Muscle Train Cast
Z1010.DEC	0x03D0	itm_027	sel	20x1	Wise Man Nail Scum
Z1010.DEC	0x03F4	itm_028	sel	20x1	Fruit of Swiftness
Z1010.DEC	0x0418	itm_029	sel	20x1	Tree of Pwr. Fruit
Z1010.DEC	0x043C	itm_030	sel	20x1	Wallet of Ruin
Z1010.DEC	0x0460	itm_031	sel	20x1	Demon King Majesty
Z1010.DEC	0x0484	itm_032	sel	20x1	Book of Wise Men
Z1010.DEC	0x04A8	itm_033	sel	20x1	Emblem of Brave
Z1010.DEC	0x04CC	itm_034	sel	20x1	Hungry Drum
Z1010.DEC	0x04F0	itm_035	sel	20x1	Whisper of Nightm.
Z1010.DEC	0x0514	itm_036	sel	20x1	Return Mirror
Z1010.DEC	0x0538	itm_037	sel	20x1	Chappa Chups
Z1010.DEC	0x055C	itm_038	sel	20x1	Silver-Queen Sign
Z1010.DEC	0x0580	itm_039	sel	20x1	Dark Dice
Z1010.DEC	0x05A4	itm_040	sel	20x1	Cursed Harmonica
Z1010.DEC	0x05C8	itm_041	sel	20x1	Spirit's Blessing
Z1010.DEC	0x05EC	itm_042	sel	20x1	
Z1010.DEC	0x0610	itm_043	sel	20x1	
Z1010.DEC	0x0634	itm_044	sel	20x1	
Z1010.DEC	0x0658	itm_045	sel	20x1	
Z1010.DEC	0x067C	itm_046	sel	20x1	
Z1010.DEC	0x06A0	itm_047	sel	20x1	Sorghum
Z1010.DEC	0x06C4	itm_048	sel	20x1	Golden Apple
Z1010.DEC	0x06E8	itm_049	sel	20x1	7-Colored Beads
Z1010.DEC	0x070C	itm_050	sel	20x1	Corner of Utica
Z1010.DEC	0x0730	itm_051	sel	20x1	Diet Cookies
Z1010.DEC	0x0754	itm_052	sel	20x1	Drawer Key
Z1010.DEC	0x0778	itm_053	sel	20x1	
Z1010.DEC	0x079C	itm_054	sel	20x1	Broken Boy Doll
Z1010.DEC	0x07C0	itm_055	sel	20x1	
Z1010.DEC	0x07E4	itm_056	sel	20x1	
Z1010.DEC	0x0808	itm_057	sel	20x1	
Z1010.DEC	0x082C	itm_058	sel	20x1	
Z1010.DEC	0x0850	itm_059	sel	20x1	
Z1010.DEC	0x0874	itm_060	sel	20x1	
Z1010.DEC	0x0898	itm_061	sel	20x1	
Z1010.DEC	0x08BC	itm_062	sel	20x1	
Z1010.DEC	0x08E0	itm_063	sel	20x1	
Z1010.DEC	0x0904	itm_064	sel	20x1	Water
Z1010.DEC	0x0928	itm_065	sel	20x1	
Z1010.DEC	0x094C	itm_066	sel	20x1	Hokekemohero Drug
Z1010.DEC	0x0970	itm_067	sel	20x1	Utica Earrings
Z1010.DEC	0x0994	itm_068	sel	20x1	Unusual Skull
Z1010.DEC	0x09B8	itm_069	sel	20x1	Super Rare Skull
Z1010.DEC	0x09DC	itm_070	sel	20x1	
Z1010.DEC	0x0A00	itm_071	sel	20x1	
Z1010.DEC	0x0A24	itm_072	sel	20x1	
Z1010.DEC	0x0A48	itm_073	sel	20x1	
Z1010.DEC	0x0A6C	itm_074	sel	20x1	Wind Stone
Z1010.DEC	0x0A90	itm_075	sel	20x1	Guardian Stone
Z1010.DEC	0x0AB4	itm_076	sel	20x1	Shadow Stone
Z1010.DEC	0x0AD8	itm_077	sel	20x1	Water Stone
Z1010.DEC	0x0AFC	itm_078	sel	20x1	Harmony Stone
Z1010.DEC	0x0B20	itm_079	sel	20x1	Concentrat. Stone
Z1010.DEC	0x0B44	itm_080	sel	20x1	Fire Stone
Z1010.DEC	0x0B68	itm_081	sel	20x1	Sacred Stone
Z1010.DEC	0x0B8C	itm_082	sel	20x1	Dispersion Stone
Z1010.DEC	0x0BB0	itm_083	sel	20x1	Earth Stone
Z1010.DEC	0x0BD4	itm_084	sel	20x1	Light Stone
Z1010.DEC	0x0BF8	itm_085	sel	20x1	Destruction Stone
Z1010.DEC	0x0C1C	itm_086	sel	20x1	Magic Stone
Z1010.DEC	0x0C40	itm_087	sel	20x1	Chinto Namakura(R)
Z1010.DEC	0x0C64	itm_088	sel	20x1	Dagger
Z1010.DEC	0x0C88	itm_089	sel	20x1	Short Sword
Z1010.DEC	0x0CAC	itm_090	sel	20x1	Kunai (L)
Z1010.DEC	0x0CD0	itm_091	sel	20x1	Monk ChkMood Staff
Z1010.DEC	0x0CF4	itm_092	sel	20x1	Kodachi (R)
Z1010.DEC	0x0D18	itm_093	sel	20x1	Long Sword
Z1010.DEC	0x0D3C	itm_094	sel	20x1	Yosaku's Ax (L)
Z1010.DEC	0x0D60	itm_095	sel	20x1	Mace
Z1010.DEC	0x0D84	itm_096	sel	20x1	Water Gun
Z1010.DEC	0x0DA8	itm_097	sel	20x1	Shuriken (L)
Z1010.DEC	0x0DCC	itm_098	sel	20x1	Evil Sword
Z1010.DEC	0x0DF0	itm_099	sel	20x1	Iron Pipe
Z1010.DEC	0x0E14	itm_100	sel	20x1	Shinobi Sword (R)
Z1010.DEC	0x0E38	itm_101	sel	20x1	Rapier
Z1010.DEC	0x0E5C	itm_102	sel	20x1	Master Sword
Z1010.DEC	0x0E80	itm_103	sel	20x1	Shadow NinjaSwd(R)
Z1010.DEC	0x0EA4	itm_104	sel	20x1	Shamshir
Z1010.DEC	0x0EC8	itm_105	sel	20x1	Jitte (R)
Z1010.DEC	0x0EEC	itm_106	sel	20x1	Manji Shuriken (L)
Z1010.DEC	0x0F10	itm_107	sel	20x1	Devil's Sword
Z1010.DEC	0x0F34	itm_108	sel	20x1	Aqua Sword
Z1010.DEC	0x0F58	itm_109	sel	20x1	Harp of the End
Z1010.DEC	0x0F7C	itm_110	sel	20x1	MC Hammer
Z1010.DEC	0x0FA0	itm_111	sel	20x1	Enjoy Staff
Z1010.DEC	0x0FC4	itm_112	sel	20x1	Flame Dancing Swd.
