#file	offset	label	type	textbox	string
Z1020.DEC	0x0008	mnst_00	sel	22x1	グリーンスライム
Z1020.DEC	0x0050	mnst_01	sel	22x1	プチプラント
Z1020.DEC	0x0098	mnst_02	sel	22x1	うさぎ戦士
Z1020.DEC	0x00E0	mnst_03	sel	22x1	トレントＪｒ．
Z1020.DEC	0x0128	mnst_04	sel	22x1	のそのそ。
Z1020.DEC	0x0170	mnst_05	sel	22x1	ぷぅ
Z1020.DEC	0x01B8	mnst_06	sel	22x1	９蜂
Z1020.DEC	0x0200	mnst_07	sel	22x1	６蜂
Z1020.DEC	0x0248	mnst_08	sel	22x1	双頭芋虫
Z1020.DEC	0x0290	mnst_09	sel	22x1	メイジマンティス
Z1020.DEC	0x02D8	mnst_10	sel	22x1	ちびナイト
Z1020.DEC	0x0320	mnst_11	sel	22x1	モヒカン豚
Z1020.DEC	0x0368	mnst_12	sel	22x1	リザードワーム
Z1020.DEC	0x03B0	mnst_13	sel	22x1	マンドラゴラ夫
Z1020.DEC	0x03F8	mnst_14	sel	22x1	マンドラゴラ子
Z1020.DEC	0x0440	mnst_15	sel	22x1	猫叉
Z1020.DEC	0x0488	mnst_16	sel	22x1	風邪の精霊
Z1020.DEC	0x04D0	mnst_17	sel	22x1	三月うさぎ
Z1020.DEC	0x0518	mnst_18	sel	22x1	しんかい９８
Z1020.DEC	0x0560	mnst_19	sel	22x1	あち亀
Z1020.DEC	0x05A8	mnst_20	sel	22x1	スレイマスター
Z1020.DEC	0x05F0	mnst_21	sel	22x1	ワイバーン
Z1020.DEC	0x0638	mnst_22	sel	22x1	ぷぅぷぅ
Z1020.DEC	0x0680	mnst_23	sel	22x1	キマイラ
Z1020.DEC	0x06C8	mnst_24	sel	22x1	トロい木馬
Z1020.DEC	0x0710	mnst_25	sel	22x1	テディベア
Z1020.DEC	0x0758	mnst_26	sel	22x1	マリオネット
Z1020.DEC	0x07A0	mnst_27	sel	22x1	呪いの人形
Z1020.DEC	0x07E8	mnst_28	sel	22x1	おもちゃの兵隊
Z1020.DEC	0x0830	mnst_29	sel	22x1	ハンプティダンプティ
Z1020.DEC	0x0878	mnst_30	sel	22x1	コインズ
Z1020.DEC	0x08C0	mnst_31	sel	22x1	マンドラゴラ美
Z1020.DEC	0x0908	mnst_32	sel	22x1	マンドラゴラ之助
Z1020.DEC	0x0950	mnst_33	sel	22x1	皿マンだ
Z1020.DEC	0x0998	mnst_34	sel	22x1	対んズ
Z1020.DEC	0x09E0	mnst_35	sel	22x1	ジェルゴーレム
Z1020.DEC	0x0A28	mnst_36	sel	22x1	エクストラフィン
Z1020.DEC	0x0A70	mnst_37	sel	22x1	マーメイド
Z1020.DEC	0x0AB8	mnst_38	sel	22x1	くらくらクラゲ
Z1020.DEC	0x0B00	mnst_39	sel	22x1	元気貝
Z1020.DEC	0x0B48	mnst_40	sel	22x1	色きち貝
Z1020.DEC	0x0B90	mnst_41	sel	22x1	ミジンコ
Z1020.DEC	0x0BD8	mnst_42	sel	22x1	プランクトン
Z1020.DEC	0x0C20	mnst_43	sel	22x1	セイレーン
Z1020.DEC	0x0C68	mnst_44	sel	22x1	ストーンゴーレム
Z1020.DEC	0x0CB0	mnst_45	sel	22x1	睡魔
Z1020.DEC	0x0CF8	mnst_46	sel	22x1	サイレントナイト
Z1020.DEC	0x0D40	mnst_47	sel	22x1	ブラッククィーン
Z1020.DEC	0x0D88	mnst_48	sel	22x1	ホワイトキング
Z1020.DEC	0x0DD0	mnst_49	sel	22x1	色ち貝
Z1020.DEC	0x0E18	mnst_50	sel	22x1	シャドウ
Z1020.DEC	0x0E60	mnst_51	sel	22x1	かげたま
Z1020.DEC	0x0EA8	mnst_52	sel	22x1	かげひよ
Z1020.DEC	0x0EF0	mnst_53	sel	22x1	ガーゴイル
Z1020.DEC	0x0F38	mnst_54	sel	22x1	スカルコレクター
Z1020.DEC	0x0F80	mnst_55	sel	22x1	ソウルハンター
Z1020.DEC	0x0FC8	mnst_56	sel	22x1	サラマンダー
Z1020.DEC	0x1010	mnst_57	sel	22x1	ゴブリンハーフ
Z1020.DEC	0x1058	mnst_58	sel	22x1	アラクネ
Z1020.DEC	0x10A0	mnst_59	sel	22x1	水の精霊（男）
Z1020.DEC	0x10E8	mnst_60	sel	22x1	水の精霊（女）
Z1020.DEC	0x1130	mnst_61	sel	22x1	水守の将
Z1020.DEC	0x1178	mnst_62	sel	22x1	火の精霊（男）
Z1020.DEC	0x11C0	mnst_63	sel	22x1	火の精霊（女）
Z1020.DEC	0x1208	mnst_64	sel	22x1	炎守の将
Z1020.DEC	0x1250	mnst_65	sel	22x1	地の精霊（男）
Z1020.DEC	0x1298	mnst_66	sel	22x1	地の精霊（女）
Z1020.DEC	0x12E0	mnst_67	sel	22x1	風の精霊（男）
Z1020.DEC	0x1328	mnst_68	sel	22x1	風の精霊（女）
Z1020.DEC	0x1370	mnst_69	sel	22x1	風守の将
Z1020.DEC	0x13B8	mnst_70	sel	22x1	バイラス
Z1020.DEC	0x1400	mnst_71	sel	22x1	メルクト
Z1020.DEC	0x1448	mnst_72	sel	22x1	Ｓ・Ｂ・Ｓ
Z1020.DEC	0x1490	mnst_73	sel	22x1	暗黒魔導師
Z1020.DEC	0x14D8	mnst_74	sel	22x1	ブラッドアクス
Z1020.DEC	0x1520	mnst_75	sel	22x1	魔神の使者
Z1020.DEC	0x1568	mnst_76	sel	22x1	マンイーター
Z1020.DEC	0x15B0	mnst_77	sel	22x1	死霊騎士
Z1020.DEC	0x15F8	mnst_78	sel	22x1	女神
Z1020.DEC	0x1640	mnst_79	sel	22x1	アース神
Z1020.DEC	0x1688	mnst_80	sel	22x1	異世界の杜人
Z1020.DEC	0x16D0	mnst_81	sel	22x1	吸血くらげ
Z1020.DEC	0x1718	mnst_82	sel	22x1	ヘルクラウド
Z1020.DEC	0x1760	mnst_83	sel	22x1	異世界の者
Z1020.DEC	0x17A8	mnst_84	sel	22x1	プラントウォーム
Z1020.DEC	0x17F0	mnst_85	sel	22x1	重機神
Z1020.DEC	0x1838	mnst_86	sel	22x1	蒼魔
Z1020.DEC	0x1880	mnst_87	sel	22x1	デモンスパイダー
Z1020.DEC	0x18C8	mnst_88	sel	22x1	キマイラマスター
Z1020.DEC	0x1910	mnst_89	sel	22x1	ゴットイーター
