#
# Unicode mapping for JIS C 6226:1978 (retronymously JIS X 0208:1978) with NEC PC98 extensions.
# Amended 2019-02 with additional deviations from modern mappings to fully use the closest matches
#   in the 1990-JIS (including JIS X 0212) repertoire (although U+663B/U+6602 were still their
#   Microsoft way around, as an oversight on my part).
# Further amended 2021-08-05 to swap U+663B/U+6602 and use some closer 2004-JIS and other characters:
#   20-34: now U+3D4E, was U+6F97
#   25-23: now U+663B, was U+6602 (compare 90-22)
#   26-84: now U+6805 (GB 2312), was U+67F5
#   32-70: now U+87EC (2000-JIS level 3), was U+8749
#   34-45: now U+9A52 (2000-JIS level 3), was U+9A28
#   35-29: now U+7C1E (2000-JIS level 3), was U+7BAA
#   39-77: now U+525D (2004-JIS level 3), was U+5265
#   53-67: now U+21A1A, was U+5BC3
#   54-02: now U+5C5B (2004-JIS level 3), was U+5C4F
#   90-22: now U+6602, was U+663B (compare 25-23)
# Further amended 2021-08-12 referencing NEC-specific CIDs, double-checked against bitmap font:
#   17-28: kept as U+958F; changing to U+28CDD per CID map is not justified by bitmap font
#   23-46: now U+25874, was U+7A3D
#   23-53: now U+8346, was U+834A
#   23-68: now U+28EF6, was U+9699
#   59-42: now U+67FA, was U+67B4
#   59-84: now U+688E, was U+688D
#   63-83: kept as U+71D7; changing to U+243D0 per CID map is not justified by bitmap font
#   73-28: kept as U+85DC; changing to U+853E per CID map is not justified by bitmap font
#   80-19: kept as U+96CE; changing to U+7762 per CID map is not justified by bitmap font
#
# NEC's double byte character set makes substantial use of halfwidth-fullwidth distinctions which
# cannot be represented in Unicode. Following a convention established by Apple, W (naturally wide)
# or A (ambiguous width) codepoints followed by the private use codepoint f87f indicate halfwidth.
#
0x2121	U+3000	# 1-1, IDEOGRAPHIC SPACE
0x2122	U+3001	# 1-2, IDEOGRAPHIC COMMA
0x2123	U+3002	# 1-3, IDEOGRAPHIC FULL STOP
0x2124	U+ff0c	# 1-4, FULLWIDTH COMMA
0x2125	U+ff0e	# 1-5, FULLWIDTH FULL STOP
0x2126	U+30fb	# 1-6, KATAKANA MIDDLE DOT
0x2127	U+ff1a	# 1-7, FULLWIDTH COLON
0x2128	U+ff1b	# 1-8, FULLWIDTH SEMICOLON
0x2129	U+ff1f	# 1-9, FULLWIDTH QUESTION MARK
0x212a	U+ff01	# 1-10, FULLWIDTH EXCLAMATION MARK
0x212b	U+309b	# 1-11, KATAKANA-HIRAGANA VOICED SOUND MARK
0x212c	U+309c	# 1-12, KATAKANA-HIRAGANA SEMI-VOICED SOUND MARK
0x212d	U+00b4	# 1-13, ACUTE ACCENT
0x212e	U+ff40	# 1-14, FULLWIDTH GRAVE ACCENT
0x212f	U+00a8	# 1-15, DIAERESIS
0x2130	U+ff3e	# 1-16, FULLWIDTH CIRCUMFLEX ACCENT
0x2131	U+ffe3	# 1-17, FULLWIDTH MACRON
0x2132	U+ff3f	# 1-18, FULLWIDTH LOW LINE
0x2133	U+30fd	# 1-19, KATAKANA ITERATION MARK
0x2134	U+30fe	# 1-20, KATAKANA VOICED ITERATION MARK
0x2135	U+309d	# 1-21, HIRAGANA ITERATION MARK
0x2136	U+309e	# 1-22, HIRAGANA VOICED ITERATION MARK
0x2137	U+3003	# 1-23, DITTO MARK
0x2138	U+4edd	# 1-24, CJK UNIFIED IDEOGRAPH-4EDD
0x2139	U+3005	# 1-25, IDEOGRAPHIC ITERATION MARK
0x213a	U+3006	# 1-26, IDEOGRAPHIC CLOSING MARK
0x213b	U+3007	# 1-27, IDEOGRAPHIC NUMBER ZERO
0x213c	U+30fc	# 1-28, KATAKANA-HIRAGANA PROLONGED SOUND MARK
0x213d	U+2014	# 1-29, EM DASH
0x213e	U+2010	# 1-30, HYPHEN
0x213f	U+ff0f	# 1-31, FULLWIDTH SOLIDUS
0x2140	U+ff3c	# 1-32, FULLWIDTH REVERSE SOLIDUS
0x2141	U+301c	# 1-33, WAVE DASH
0x2142	U+2016	# 1-34, DOUBLE VERTICAL LINE
0x2143	U+ff5c	# 1-35, FULLWIDTH VERTICAL LINE
0x2144	U+2026	# 1-36, HORIZONTAL ELLIPSIS
0x2145	U+2025	# 1-37, TWO DOT LEADER
0x2146	U+2018	# 1-38, LEFT SINGLE QUOTATION MARK
0x2147	U+2019	# 1-39, RIGHT SINGLE QUOTATION MARK
0x2148	U+201c	# 1-40, LEFT DOUBLE QUOTATION MARK
0x2149	U+201d	# 1-41, RIGHT DOUBLE QUOTATION MARK
0x214a	U+ff08	# 1-42, FULLWIDTH LEFT PARENTHESIS
0x214b	U+ff09	# 1-43, FULLWIDTH RIGHT PARENTHESIS
0x214c	U+3014	# 1-44, LEFT TORTOISE SHELL BRACKET
0x214d	U+3015	# 1-45, RIGHT TORTOISE SHELL BRACKET
0x214e	U+ff3b	# 1-46, FULLWIDTH LEFT SQUARE BRACKET
0x214f	U+ff3d	# 1-47, FULLWIDTH RIGHT SQUARE BRACKET
0x2150	U+ff5b	# 1-48, FULLWIDTH LEFT CURLY BRACKET
0x2151	U+ff5d	# 1-49, FULLWIDTH RIGHT CURLY BRACKET
0x2152	U+3008	# 1-50, LEFT ANGLE BRACKET
0x2153	U+3009	# 1-51, RIGHT ANGLE BRACKET
0x2154	U+300a	# 1-52, LEFT DOUBLE ANGLE BRACKET
0x2155	U+300b	# 1-53, RIGHT DOUBLE ANGLE BRACKET
0x2156	U+300c	# 1-54, LEFT CORNER BRACKET
0x2157	U+300d	# 1-55, RIGHT CORNER BRACKET
0x2158	U+300e	# 1-56, LEFT WHITE CORNER BRACKET
0x2159	U+300f	# 1-57, RIGHT WHITE CORNER BRACKET
0x215a	U+3010	# 1-58, LEFT BLACK LENTICULAR BRACKET
0x215b	U+3011	# 1-59, RIGHT BLACK LENTICULAR BRACKET
0x215c	U+ff0b	# 1-60, FULLWIDTH PLUS SIGN
0x215d	U+2212	# 1-61, MINUS SIGN
0x215e	U+00b1	# 1-62, PLUS-MINUS SIGN
0x215f	U+00d7	# 1-63, MULTIPLICATION SIGN
0x2160	U+00f7	# 1-64, DIVISION SIGN
0x2161	U+ff1d	# 1-65, FULLWIDTH EQUALS SIGN
0x2162	U+2260	# 1-66, NOT EQUAL TO
0x2163	U+ff1c	# 1-67, FULLWIDTH LESS-THAN SIGN
0x2164	U+ff1e	# 1-68, FULLWIDTH GREATER-THAN SIGN
0x2165	U+2266	# 1-69, LESS-THAN OVER EQUAL TO
0x2166	U+2267	# 1-70, GREATER-THAN OVER EQUAL TO
0x2167	U+221e	# 1-71, INFINITY
0x2168	U+2234	# 1-72, THEREFORE
0x2169	U+2642	# 1-73, MALE SIGN
0x216a	U+2640	# 1-74, FEMALE SIGN
